Input	Input_source	Output	Output_source
C01585	KEGG	CHEBI:17120	ChEBI
C02378	KEGG	CHEBI:32396	ChEBI
C03846	KEGG	CHEBI:17125	ChEBI
C01933	KEGG	CHEBI:21203	ChEBI
C01255	KEGG	CHEBI:16780	ChEBI
C05825	KEGG	CHEBI:1010	ChEBI
C02122	KEGG	CHEBI:37030	ChEBI
C02804	KEGG	CHEBI:16230	ChEBI
C06007	KEGG	CHEBI:49258	ChEBI
C00418	KEGG	CHEBI:36464	ChEBI
C02104	KEGG	CHEBI:18790	ChEBI
C00989	KEGG	CHEBI:16724	ChEBI
C00163	KEGG	CHEBI:17272	ChEBI
C01456	KEGG	CHEBI:17000	ChEBI
C01013	KEGG	CHEBI:16510	ChEBI
C01432	KEGG	CHEBI:24996	ChEBI
C00256	KEGG	CHEBI:16004	ChEBI
C00186	KEGG	CHEBI:16651	ChEBI
C05568	KEGG	CHEBI:24773	ChEBI
C02043	KEGG	CHEBI:17282	ChEBI
C05657	KEGG	CHEBI:27524	ChEBI
C03672	KEGG	CHEBI:36659	ChEBI
C03964	KEGG	CHEBI:10980	ChEBI
C01744	KEGG	CHEBI:16331	ChEBI
C02763	KEGG	CHEBI:16815	ChEBI
C01188	KEGG	CHEBI:11805	ChEBI
C04044	KEGG	CHEBI:46951	ChEBI
C04044	KEGG	CHEBI:46951	ChEBI
C01198	KEGG	CHEBI:46957	ChEBI
C00246	KEGG	CHEBI:17968	ChEBI
C02356	KEGG	CHEBI:28340	ChEBI
C00334	KEGG	CHEBI:30566	ChEBI
C03678	KEGG	CHEBI:11955	ChEBI
C00487	KEGG	CHEBI:17126	ChEBI
C15025	KEGG	CHEBI:11060	ChEBI
C00318	KEGG	CHEBI:16347	ChEBI
C02301	KEGG	CHEBI:75659	ChEBI
C02990	KEGG	CHEBI:17490	ChEBI
C02838	KEGG	CHEBI:18102	ChEBI
C03299	KEGG	CHEBI:28717	ChEBI
C02571	KEGG	CHEBI:57589	ChEBI
C02290	KEGG	CHEBI:17159	ChEBI
C03017	KEGG	CHEBI:28867	ChEBI
C02862	KEGG	CHEBI:7676	ChEBI
C04546	KEGG	CHEBI:10979	ChEBI
C03197	KEGG	CHEBI:11047	ChEBI
